-nan -nan -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
-nan -nan -nan -nan
-0.00323619 -0.0103482 0.714609 -0.69944
-0.00323619 -0.0103482 0.714609 -0.69944
-0.00323619 -0.0103482 0.714609 -0.69944
-0.00323619 -0.0103482 0.714609 -0.69944
-0.00323619 -0.0103482 0.714609 -0.69944
-0.00323619 -0.0103482 0.714609 -0.69944
-0.00323619 -0.0103482 0.714609 -0.69944
-0.00323619 -0.0103482 0.714609 -0.69944
0.0328927 -0.0211966 0.714867 -0.698165
0.0464022 -0.0178043 0.712907 -0.699495
0.000370058 -0.00359254 0.709226 -0.704972
0.00369733 0.0358647 0.705154 0.708136
-0.0393148 0.0273759 -0.703874 0.708707
-0.0377069 0.0222247 -0.700806 0.712008
-0.046737 -0.0176691 -0.698106 0.714249
0.00083476 -0.00400503 -0.693837 0.72012
0.0219796 0.0114455 -0.692485 0.721007
0.00685071 -9.64119e-05 -0.690641 0.723166
0.161802 -0.101043 -0.670299 0.717154
-0.0612283 -0.00550262 -0.689994 0.7212
-0.122221 -0.0139478 0.88504 -0.448967
-0.122221 -0.0139478 0.88504 -0.448967
-0.0644093 -0.0132563 -0.684719 0.725834
-0.0641165 0.0354883 -0.683871 0.725914
-0.0641165 0.0354883 -0.683871 0.725914
-0.000771265 -0.0146066 -0.683357 0.729938
-0.0834385 -0.0342708 -0.685587 0.722381
-0.00389944 -0.028139 -0.683146 0.729729
0.175759 -0.0938598 -0.664518 0.720218
0.175759 -0.0938598 -0.664518 0.720218
0.0580554 -0.00824035 -0.697887 0.713804
-0.0626469 0.0279878 0.71444 -0.696324
0.17814 -0.0999738 -0.668661 0.714957
0.192067 -0.0999731 -0.667194 0.712719
-0.094813 -0.00792047 -0.694194 0.713472
-0.0422525 0.0068817 0.725877 -0.686491
-0.0119006 -0.0153055 -0.697078 0.716733
0.191106 -0.0709989 -0.680973 0.703358
-0.0607224 0.0070508 -0.702723 0.708832
-0.0504459 0.0610241 -0.703957 0.705816
-0.073267 0.0487285 -0.675041 0.732515
0.0775845 -0.0963553 0.7023 -0.70105
-0.122479 0.000474235 -0.70099 0.702575
-0.139663 -0.000607824 0.710248 -0.689958
-0.146899 0.0226811 -0.698984 0.69952
0.134729 -0.100942 0.698021 -0.696007
0.139744 -0.113258 0.696175 -0.694971
0.00738743 0.0116957 -0.704579 0.709491
-0.109777 -0.0322971 0.712248 -0.692538
-0.171846 0.0158887 -0.692491 0.70048
0.110057 -0.138234 0.697009 -0.694951
0.103241 -0.132676 0.698695 -0.695388
0.128436 -0.0717833 0.700415 -0.698405
0.130832 -0.0952691 0.699418 -0.696147
0.101556 -0.104892 0.703948 -0.695083
0.104119 -0.111584 0.705644 -0.691936
0.0126319 0.00123523 -0.69651 0.717434
0.0735493 -0.122348 0.711784 -0.687739
-0.0372753 0.00270974 0.721413 -0.691495
0.0813213 -0.0844485 0.717793 -0.686315
