-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
0.306242 -0.122009 4.05612
0.306242 -0.122009 4.05612
0.306242 -0.122009 4.05612
0.306242 -0.122009 4.05612
0.306242 -0.122009 4.05612
0.306242 -0.122009 4.05612
0.306242 -0.122009 4.05612
0.306242 -0.122009 4.05612
0.309797 -0.12557 4.04301
0.314714 -0.129102 4.03977
0.316313 -0.129512 4.02927
-0.322428 0.136129 -4.03279
0.323338 -0.140078 3.99447
0.323627 -0.142273 3.98056
0.325586 -0.14425 4.01266
0.323594 -0.146396 3.96038
0.325218 -0.148805 3.91827
0.327931 -0.150062 3.92737
0.302556 -0.152775 3.77489
0.330977 -0.152551 3.90587
1.23749 0.299293 9.95148
1.23749 0.299293 9.95148
0.332916 -0.152066 3.91014
0.329945 -0.155019 3.79865
0.329945 -0.155019 3.79865
0.328642 -0.152962 3.82274
0.330704 -0.150097 3.85075
0.32632 -0.152161 3.80557
0.294106 -0.152309 3.63126
0.294106 -0.152309 3.63126
2.72975 0.656886 9.98532
1.39525 0.493008 9.98929
0.291864 -0.156325 3.59507
0.284827 -0.156542 3.54343
0.320398 -0.157422 3.73716
1.62022 0.552408 9.989
0.324124 -0.200516 3.74332
0.292087 -0.268852 3.53956
0.26959 -0.376343 3.72592
0.157664 -0.44272 3.67239
0.0247529 -0.993137 10.0058
-0.151614 -0.489754 3.60467
-0.299992 -0.489042 3.66115
-0.391768 -0.479636 3.42274
-0.484542 -0.491288 3.63275
-0.528414 -0.492562 3.58005
-0.552193 -0.490434 3.54913
-4.03594 -1.31656 9.99427
-0.544359 -0.475388 3.37287
-0.558628 -0.483272 3.58385
-0.534601 -0.483931 3.50853
-0.521773 -0.481119 3.49273
-0.524302 -0.48118 3.55797
-0.509956 -0.481612 3.55915
-0.489684 -0.475981 3.52447
-0.467552 -0.473073 3.50751
-5.4801 -2.07914 9.99589
-0.427576 -0.46674 3.49903
-19.9913 -10.2116 9.98939
-0.386253 -0.462328 3.53484
-0.357597 -0.452282 3.44515
-2.98096 -1.30497 10.0185
-2.41872 -0.994136 10.0146
-0.252443 -0.448047 3.47316
-0.228118 -0.450513 3.53001
-0.191014 -0.45235 3.54
-0.143038 -0.444375 3.5541
-0.0817218 -0.404791 3.5542
0.0126287 -0.33922 3.54672
0.124331 -0.27575 3.53642
0.231899 -0.241728 3.5652
0.323584 -0.227516 3.52132
0.44433 -0.227158 3.40799
0.681629 -0.246663 3.41701
0.923044 -0.264865 3.40637
1.05224 -0.264077 3.30446
1.20991 -0.277158 3.26323
1.32974 -0.275536 3.21897
1.41369 -0.283792 3.15637
1.5563 -0.289414 3.26244
1.54403 -0.289434 3.13693
1.62497 -0.287645 3.243
1.64479 -0.286943 3.21266
1.65136 -0.286511 3.15908
1.61513 -0.2825 3.05855
1.62804 -0.284046 3.02394
1.67045 -0.28573 3.04618
1.74617 -0.293548 3.11651
1.68804 -0.29044 2.98692
1.77433 -0.301939 3.06584
1.72603 -0.297072 2.96466
0.306242 -0.122009 4.05612
0.309797 -0.12557 4.04301
0.314714 -0.129102 4.03977
0.316313 -0.129512 4.02927
-0.322428 0.136129 -4.03279
0.323338 -0.140078 3.99447
0.323627 -0.142273 3.98056
0.325586 -0.14425 4.01266
0.323594 -0.146396 3.96038
0.325218 -0.148805 3.91827
0.327931 -0.150062 3.92737
0.302556 -0.152775 3.77489
0.330977 -0.152551 3.90587
1.23749 0.299293 9.95148
1.23749 0.299293 9.95148
0.332916 -0.152066 3.91014
0.329945 -0.155019 3.79865
0.329945 -0.155019 3.79865
0.328642 -0.152962 3.82274
0.330704 -0.150097 3.85075
0.32632 -0.152161 3.80557
0.294106 -0.152309 3.63126
0.294106 -0.152309 3.63126
2.72975 0.656886 9.98532
1.39525 0.493008 9.98929
0.291864 -0.156325 3.59507
0.284827 -0.156542 3.54343
0.320398 -0.157422 3.73716
1.62022 0.552408 9.989
0.324124 -0.200516 3.74332
0.292087 -0.268852 3.53956
0.26959 -0.376343 3.72592
0.157664 -0.44272 3.67239
0.0247529 -0.993137 10.0058
-0.151614 -0.489754 3.60467
-0.299992 -0.489042 3.66115
-0.391768 -0.479636 3.42274
-0.484542 -0.491288 3.63275
-0.528414 -0.492562 3.58005
-0.552193 -0.490434 3.54913
-4.03594 -1.31656 9.99427
-0.544359 -0.475388 3.37287
-0.558628 -0.483272 3.58385
-0.534601 -0.483931 3.50853
-0.521773 -0.481119 3.49273
-0.524302 -0.48118 3.55797
-0.509956 -0.481612 3.55915
-0.489684 -0.475981 3.52447
-0.467552 -0.473073 3.50751
-5.4801 -2.07914 9.99589
-0.427576 -0.46674 3.49903
-19.9913 -10.2116 9.98939
-0.386253 -0.462328 3.53484
-0.357597 -0.452282 3.44515
-2.98096 -1.30497 10.0185
-2.41872 -0.994136 10.0146
-0.252443 -0.448047 3.47316
-0.228118 -0.450513 3.53001
-0.191014 -0.45235 3.54
-0.143038 -0.444375 3.5541
-0.0817218 -0.404791 3.5542
0.0126287 -0.33922 3.54672
0.124331 -0.27575 3.53642
0.231899 -0.241728 3.5652
0.323584 -0.227516 3.52132
0.44433 -0.227158 3.40799
0.681629 -0.246663 3.41701
0.923044 -0.264865 3.40637
1.05224 -0.264077 3.30446
1.20991 -0.277158 3.26323
1.32974 -0.275536 3.21897
1.41369 -0.283792 3.15637
1.5563 -0.289414 3.26244
1.54403 -0.289434 3.13693
1.62497 -0.287645 3.243
1.64479 -0.286943 3.21266
1.65136 -0.286511 3.15908
1.61513 -0.2825 3.05855
1.62804 -0.284046 3.02394
1.67045 -0.28573 3.04618
1.74617 -0.293548 3.11651
1.68804 -0.29044 2.98692
